symbol,date,open,high,low,close,volume,rsi,macd,signal,ema,bb_upper,bb_lower,pattern,signal_label
EURUSD,2024-12-29T00:00:00.000Z,1.043105,1.043465,1.042745,1.04296,1000,,0.0,0.0,1.04296,,,False,NEUTRAL
EURUSD,2024-12-30T00:00:00.000Z,1.042965,1.04585,1.037185,1.040585,1000,,-0.00018945868945863253,-3.789173789172651e-05,1.0427338095238097,,,False,SELL
EURUSD,2024-12-31T00:00:00.000Z,1.04058,1.042455,1.0344,1.0354,1000,,-0.0007493541448528873,-0.0001801842192839587,1.0420353514739231,,,False,SELL
EURUSD,2025-01-01T00:00:00.000Z,1.035645,1.03578,1.034655,1.035095,1000,,-0.0012038095113884317,-0.0003849092777048533,1.0413743656192638,,,False,SELL
EURUSD,2025-01-02T00:00:00.000Z,1.0351,1.037565,1.02241,1.026795,1000,,-0.0022082539209373753,-0.0007495782063513578,1.0399858546079053,,,False,SELL
EURUSD,2025-01-03T00:00:00.000Z,1.0268,1.031005,1.026475,1.030915,1000,,-0.002641385536157337,-0.0011279396723125536,1.0391219636928666,,,False,SELL
EURUSD,2025-01-05T00:00:00.000Z,1.030695,1.030815,1.029765,1.03053,1000,,-0.002981344658780971,-0.0014986206696062372,1.038303681436403,,,False,SELL
EURUSD,2025-01-06T00:00:00.000Z,1.030535,1.043695,1.029565,1.038335,1000,,-0.0025910978784002836,-0.0017171161113650468,1.0383066641567458,,,False,NEUTRAL
EURUSD,2025-01-07T00:00:00.000Z,1.03835,1.043445,1.033925,1.03417,1000,,-0.002588071507692913,-0.0018913071906306203,1.0379126961418177,,,False,SELL
EURUSD,2025-01-08T00:00:00.000Z,1.034175,1.035765,1.027335,1.031335,1000,,-0.002782360573290177,-0.0020695178671625318,1.037286248890216,,,False,SELL
EURUSD,2025-01-09T00:00:00.000Z,1.031345,1.032165,1.028375,1.029665,1000,,-0.0030360929115982316,-0.002262832876049672,1.0365604156625763,,,False,SELL
EURUSD,2025-01-10T00:00:00.000Z,1.02967,1.031205,1.022765,1.02458,1000,,-0.0036059277303683857,-0.002531451846913415,1.0354194236947118,,,False,SELL
EURUSD,2025-01-12T00:00:00.000Z,1.024105,1.024705,1.023895,1.02431,1000,,-0.004032824779485855,-0.002831726433427903,1.0343613833428345,,,False,SELL
EURUSD,2025-01-13T00:00:00.000Z,1.024315,1.02776,1.01775,1.026395,1000,,-0.004155005376036858,-0.0030963822219496943,1.0336026801673264,,,False,SELL
EURUSD,2025-01-14T00:00:00.000Z,1.02639,1.030885,1.023855,1.030625,1000,37.365563863566386,-0.003865944528593568,-0.0032502946832784693,1.033319091579962,,,False,SELL
EURUSD,2025-01-15T00:00:00.000Z,1.03063,1.035465,1.025875,1.02953,1000,38.371726096560415,-0.003682766434116802,-0.003336789033446136,1.0329582257152037,,,False,SELL
EURUSD,2025-01-16T00:00:00.000Z,1.02952,1.03151,1.026075,1.030155,1000,43.897614892379096,-0.003447424434921631,-0.003358916113741235,1.0326912518375653,,,False,SELL
EURUSD,2025-01-17T00:00:00.000Z,1.03016,1.033075,1.02653,1.02716,1000,41.311726705354154,-0.0034626701684874472,-0.0033796669246904778,1.0321644659482734,,,Bearish Engulfing,SELL
EURUSD,2025-01-19T00:00:00.000Z,1.02802,1.028335,1.02665,1.028065,1000,51.65926313038949,-0.003362960470643106,-0.0033763256338810036,1.0317740406198666,,,True,NEUTRAL
EURUSD,2025-01-20T00:00:00.000Z,1.028055,1.04344,1.02783,1.042105,1000,61.610292591824184,-0.002126516001156764,-0.003126363707336156,1.0327579415132127,1.0431188550657358,1.020752144934264,False,BUY
EURUSD,2025-01-21T00:00:00.000Z,1.042115,1.043545,1.034205,1.040585,1000,60.19260010136875,-0.0012548114623720519,-0.0027520532583433354,1.0335033756548115,1.0425485278362356,1.0210849721637643,False,BUY
EURUSD,2025-01-22T00:00:00.000Z,1.04059,1.045745,1.040005,1.0408,1000,52.953156822810584,-0.0005404012230121324,-0.002309722851277095,1.0341982922591153,1.042596625214925,1.0210583747850748,True,BUY
EURUSD,2025-01-23T00:00:00.000Z,1.040805,1.04381,1.037205,1.041585,1000,59.666275583366044,8.810140011039636e-05,-0.0018301580009995968,1.0349017882344376,1.0436662098745997,1.0206072901254004,False,BUY
EURUSD,2025-01-24T00:00:00.000Z,1.04159,1.052155,1.041175,1.049455,1000,70.88038718598813,0.0012073202484244039,-0.0012226623511147968,1.0362878084025864,1.046713208741296,1.0189962912587036,False,NEUTRAL
EURUSD,2025-01-26T00:00:00.000Z,1.048155,1.04859,1.046535,1.046765,1000,69.25242062598528,0.0018558555825913814,-0.0006069587643735611,1.0372856361737686,1.0487147482155408,1.018991751784459,False,BUY
EURUSD,2025-01-27T00:00:00.000Z,1.046805,1.05333,1.042845,1.043735,1000,72.61244245071464,0.002101108558561826,-6.534529978648363e-05,1.0378998613000763,1.0499174223390486,1.019071077660951,False,NEUTRAL
EURUSD,2025-01-28T00:00:00.000Z,1.043725,1.045675,1.041395,1.042745,1000,71.39872315728412,0.002190339710008038,0.0003857917021724207,1.0383613030810215,1.0508316247591716,1.0193783752408283,False,NEUTRAL
EURUSD,2025-01-29T00:00:00.000Z,1.04275,1.044375,1.038245,1.04248,1000,69.4946067143381,0.002214149418861888,0.0007514632455103143,1.038753559930448,1.0513247492214142,1.019299750778586,True,BUY
EURUSD,2025-01-30T00:00:00.000Z,1.042475,1.046785,1.038515,1.039695,1000,61.39161014820429,0.0019854060349853153,0.0009982518034053146,1.0388432208894531,1.051708302173267,1.019468697826733,False,BUY
EURUSD,2025-01-31T00:00:00.000Z,1.03969,1.043415,1.035005,1.03588,1000,57.46531859863614,0.0014792349389567416,0.0010944484305156,1.038561009376172,1.0518107358179303,1.0198207641820698,False,NEUTRAL
EURUSD,2025-02-02T00:00:00.000Z,1.024785,1.027045,1.023495,1.02472,1000,44.878922076698494,0.00017554835444499872,0.0009106684153014797,1.0372428180070126,1.0521074445026928,1.019029555497307,True,SELL
